accuracy,loss,val_accuracy,val_loss,learning_rate
0.7583892345428467,0.5440051555633545,0.8968705534934998,0.38092631101608276,0.0010000000474974513
0.8776693344116211,0.3968172073364258,0.9160739779472351,0.3265039026737213,0.0010000000474974513
0.9188529849052429,0.34668269753456116,0.9224750995635986,0.33638307452201843,0.0010000000474974513
0.9395973086357117,0.31016039848327637,0.9352774024009705,0.31263217329978943,0.0005000000237487257
0.9365466833114624,0.3135586678981781,0.9281650185585022,0.31201961636543274,0.0005000000237487257
0.9429529905319214,0.3024488389492035,0.954480767250061,0.28646454215049744,0.0005000000237487257
0.9411226511001587,0.2998323142528534,0.9502133727073669,0.2830933928489685,0.0005000000237487257
0.9472239017486572,0.2936287820339203,0.9530583024024963,0.2792659103870392,0.0005000000237487257
0.9554606676101685,0.28817036747932434,0.954480767250061,0.2749260365962982,0.0005000000237487257
0.9572910070419312,0.2832297086715698,0.9587482213973999,0.27474039793014526,0.0005000000237487257
0.9514948129653931,0.2876252830028534,0.9495021104812622,0.277633398771286,0.0005000000237487257
0.9609518051147461,0.2742423713207245,0.9573257565498352,0.27487674355506897,0.0002500000118743628
0.9633923172950745,0.2678881883621216,0.9573257565498352,0.2715211808681488,0.0001250000059371814
0.9624771475791931,0.26724791526794434,0.9573257565498352,0.2695903182029724,0.0001250000059371814
0.9655277729034424,0.2659726142883301,0.9587482213973999,0.26804304122924805,0.0001250000059371814
