accuracy,loss,val_accuracy,val_loss,learning_rate
0.7947019934654236,0.5102163553237915,0.8543046116828918,0.43028566241264343,0.0010000000474974513
0.878311276435852,0.4119322597980499,0.8973509669303894,0.37114089727401733,0.0010000000474974513
0.8956953883171082,0.3790309727191925,0.8907284736633301,0.3437889516353607,0.0010000000474974513
0.9197019934654236,0.347236305475235,0.9039735198020935,0.35893192887306213,0.0010000000474974513
0.9304635524749756,0.3210372030735016,0.9105960130691528,0.35506415367126465,0.0010000000474974513
0.9370861053466797,0.31612446904182434,0.9072847962379456,0.381776362657547,0.0010000000474974513
0.9552980065345764,0.2896811068058014,0.9238410592079163,0.33310315012931824,0.0005000000237487257
0.9536423683166504,0.28899887204170227,0.9668874144554138,0.264115571975708,0.0005000000237487257
0.9610927104949951,0.28295496106147766,0.9768211841583252,0.2508956491947174,0.0005000000237487257
0.9751655459403992,0.26177772879600525,0.9635761380195618,0.2663613259792328,0.0005000000237487257
0.9627483487129211,0.2744792699813843,0.9668874144554138,0.26383236050605774,0.0005000000237487257
0.9668874144554138,0.2690352499485016,0.9701986908912659,0.2473466843366623,0.0005000000237487257
0.9685430526733398,0.2614589333534241,0.9735099077224731,0.2490699738264084,0.0005000000237487257
0.9726821184158325,0.25553402304649353,0.9635761380195618,0.2521066665649414,0.0005000000237487257
